470124.83579999954 5440998.189500000300000
405006.50399999972 5312879.539000000800000
455200.35130000021 5434296.186000000700000
583656.87260000035 5325567.893600000100000
454785.86689999979 5426482.775200000000000
529691.46470000036 5324827.838700000200000
579539.17939999979 5409132.258500000500000
536964.70390000008 5311993.995999999300000
578212.54349999968 5283038.229800000800000
578237.50600000005 5469339.345000000700000
515775.21430000011 5446040.143899999600000
515514.42499999981 5452686.625000000000000
575607.59700000007 5298780.479000000300000
506938.21239999961 5454083.615700000900000
559220.77469999995 5327978.972200000700000
527011.60740000010 5406495.407700000300000
520535.10549999960 5376365.157600000500000
538217.38300000038 5405747.650000000400000
549958.21430000011 5422617.586999999400000
502640.10580000002 5375728.683700000900000
520710.88439999986 5376347.868799999400000
531837.81799999997 5422029.541999999400000
449574.37000000011 5296209.471000000800000
510822.98450000025 5421976.593499999500000
410661.10599999968 5271082.539899999300000
509481.44170000032 5421184.454900000200000
500990.29679999966 5306502.433599999200000
514182.09999999963 5393226.806700000500000
511456.13850000035 5280185.089299999200000
501325.60199999996 5395543.793299999100000
543134.25719999988 5291648.984899999600000
500813.14109999966 5405060.659700000700000
500996.82949999999 5404792.537699999300000
513805.52799999993 5280228.260199999400000
515522.92509999964 5407774.083799999200000
487759.41799999960 5314097.728700000800000
400037.45770000014 5266908.160700000800000
467214.81560000032 5323830.393400000400000
548000.73110000044 5404709.175699999600000
439446.08609999996 5348185.369500000000000
543886.64250000007 5281431.547000000300000
404849.30769999977 5346901.445200000000000
414177.22840000037 5353562.177899999500000
489647.16500000004 5362340.725999999800000
414238.13009999972 5330376.786000000300000
502349.91810000036 5370576.050599999700000
521199.37040000036 5376198.224600000300000
397298.97589999996 5333248.444399999500000
488848.28270000033 5289296.464099999500000
441149.28509999998 5307213.573799999400000
464777.43989999965 5323645.430099999500000
441133.14159999974 5306665.169099999600000
392728.39489999972 5297525.782900000000000
446925.44429999962 5353969.968399999700000
414270.41119999997 5316467.280099999200000
411567.82259999961 5315903.425499999900000
409349.11820000038 5344507.133099999300000
411250.54260000028 5318166.753399999800000
478725.13229999971 5415103.705199999700000
476584.20999999996 5473259.765900000900000
395498.22489999980 5272028.574699999800000
